time,duration,height,record_id
2011-02-25 16:59:59.971200,3.0,35.3,50
2011-03-13 09:00:00.000000,1.0,30.2,50
2011-03-13 19:00:00.028800,1.0,30.6,50
2011-03-13 21:00:00.000000,2.0,35.6,50
2011-04-19 13:59:59.971200,2.0,32.8,50
2011-04-20 13:59:59.971200,5.0,37.5,50
2011-04-21 15:00:00.000000,3.0,34.9,50
2011-05-01 13:00:00.028800,2.0,33.1,50
2011-05-14 10:00:00.028800,17.0,74.7,50
2011-05-15 10:00:00.028800,5.0,39.4,50
2011-05-15 16:00:00.028800,1.0,32.3,50
2011-05-18 13:00:00.028800,17.0,53.1,50
2011-05-19 12:00:00.000000,6.0,57.7,50
2011-05-19 19:00:00.028800,1.0,40.5,50
2011-05-20 16:00:00.028800,1.0,33.1,50
2011-06-05 16:59:59.971200,2.0,33.5,50
2011-06-12 10:59:59.971200,2.0,33.6,50
2011-07-11 10:59:59.971200,1.0,57.8,50
2012-05-29 07:59:59.971200,1.0,40.5,50
2012-05-29 19:59:59.971200,1.0,34.1,50
2013-02-07 19:00:00.028800,6.0,43.2,50
2013-02-08 19:59:59.971200,11.0,38.2,50
2013-02-09 07:59:59.971200,3.0,36.9,50
2013-02-09 19:59:59.971200,1.0,34.1,50
2013-02-09 22:00:00.028800,1.0,30.2,50
2013-02-16 16:00:00.028800,2.0,33.5,50
2013-02-17 15:00:00.000000,15.0,49.2,50
2013-02-18 16:00:00.028800,6.0,46.0,50
2013-02-19 16:59:59.971200,5.0,42.7,50
2013-02-20 18:00:00.000000,4.0,43.3,50
2013-03-02 16:59:59.971200,2.0,33.5,50
2013-04-28 16:00:00.028800,4.0,37.1,50
2013-04-29 15:00:00.000000,5.0,39.5,50
2013-04-30 15:00:00.000000,1.0,31.2,50
2013-04-30 16:59:59.971200,4.0,37.1,50
2013-05-17 07:59:59.971200,1.0,33.6,50
2013-05-17 19:00:00.028800,1.0,31.9,50
2013-07-20 10:00:00.028800,1.0,33.5,50
2014-04-17 15:00:00.000000,6.0,46.5,50
2014-04-18 03:00:00.000000,3.0,37.5,50
2014-04-18 13:59:59.971200,10.0,65.5,50
2014-04-19 01:59:59.971200,6.0,44.0,50
2014-04-19 15:00:00.000000,6.0,49.0,50
